Id,GlobalId,ElementName,AltName,Definition,Format,HasOptionSet,UsageNotes,URL,Version,TermID,ChangeNotes,TechnicalName,PropertyType,IsVirtual
927c977b-064f-4cf1-82fa-009aa2f7a8f1,001530,Activity Description,,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 300 characters maximum,0,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=20505,10,20505,,OrganizationId,Guid,False
e2af09b6-fd95-4cbc-8c84-f5f69f4e91a4,001530,Activity Description,,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 300 characters maximum,0,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=20505,10,20505,,ActivityDescription,System.String,False
ccfb2d01-9f1c-45ae-a844-8915a51c18d0,001530,Activity Description,,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 300 characters maximum,0,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=20505,10,20505,,DataCollection,Autobahn.Entities.DataCollection,True
af403187-b6ff-48f9-88a6-ef0903407c51,001530,Activity Description,,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 300 characters maximum,0,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=20505,10,20505,,Organization,Autobahn.Entities.Organization,True
8c85d5ba-9746-4a28-ad61-71c7a56a4522,001530,Activity Description,,"A description of the events and procedures that take place under the purview of an organized activity, such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 300 characters maximum,0,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=20505,10,20505,,RecordStatus,Autobahn.Entities.RecordStatus,True
e0928f3c-839b-43fc-bee3-41dbef77e32b,000229,Recognition for Participation or Performance in an Activity,,"The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity.",,1,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19229,10,19229,,OrganizationPersonRoleId,Guid,False
c98d3dad-c953-4a5b-9be1-07de0e9c6281,000229,Recognition for Participation or Performance in an Activity,,"The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity.",,1,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19229,10,19229,,RefActivityRecognitionTypeId,Guid,False
f2f16283-d538-4a68-a548-4d915068aa85,000229,Recognition for Participation or Performance in an Activity,,"The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity.",,1,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19229,10,19229,,DataCollection,Autobahn.Entities.DataCollection,True
d017d697-db5e-4c00-b757-7a665d347c82,000229,Recognition for Participation or Performance in an Activity,,"The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity.",,1,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19229,10,19229,,OrganizationPersonRole,Autobahn.Entities.OrganizationPersonRole,True
d16f2858-0735-4f3f-9761-7cb71a46045b,000229,Recognition for Participation or Performance in an Activity,,"The nature of recognition given to the student for accomplishments in a co-curricular, or extra-curricular activity.",,1,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19229,10,19229,,RecordStatus,Autobahn.Entities.RecordStatus,True
