GlobalID,TableName,ColumnName,Version,Domain,FilePath
000328,OrganizationIndicator,RefOrganizationIndicatorId,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\OrganizationIndicatorView.cs
000328,RefOrganizationIndicator,,10,Common,
000001,PsStudentAcademicAward,AcademicAwardDate,10,Postsecondary,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Postsecondary\Views\PsStudentAcademicAwardView.cs
000002,PsStudentAcademicAward,RefAcademicAwardLevelId,10,Postsecondary,
000002,RefAcademicAwardLevel,,10,Postsecondary,
000003,PsStudentAcademicAward,AcademicAwardTitle,10,Postsecondary,
000004,K12StudentAcademicHonor,RefAcademicHonorTypeId,10,K12,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.K12\Views\K12StudentAcademicHonorView.cs
000004,RefAcademicHonorType,,10,K12,
000005,OrganizationFederalAccountability,AccountabilityReportTitle,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\OrganizationFederalAccountabilityView.cs
000006,OrganizationIdentifier,RefOrganizationIdentifierTypeId,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\OrganizationIdentifierView.cs
000006,RefOrganizationIdentificationSystem,,10,Common,
000007,OrganizationPersonRole,EntryDate,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\OrganizationPersonRoleView.cs
000008,OrganizationPersonRole,ExitDate,10,Common,
000009,OrganizationDetail,Name,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\OrganizationDetailView.cs
000011,OrganizationFederalAccountability,RefAypStatusId,10,Common,
000011,RefAypStatus,,10,Common,
000012,K12School,RefAdministrativeFundingControlId,10,K12,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.K12\Views\K12SchoolView.cs
000012,PsInstitution,RefAdministrativeFundingControlId,10,Postsecondary,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Postsecondary\Views\PsInstitutionView.cs
000012,RefAdministrativeFundingControl,,10,Common,
000013,CteCourse,CourseAlignedWithStandards,10,CareerandTechnical,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.CareerandTechnical\Views\CteCourseView.cs
000013,K12Course,CourseAlignedWithStandards,10,K12,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.K12\Views\K12CourseView.cs
000014,OrganizationFederalAccountability,AlternateAypApproachIndicator,10,Common,
000015,K12SchoolStatus,RefAlternativeSchoolFocusId,10,K12,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.K12\Views\K12SchoolStatusView.cs
000015,RefAlternativeSchoolFocus,,10,Common,
000017,RefOrganizationIndicator,,10,Common,
000018,PsStudentAcademicRecord,AdvancedPlacementCreditsAwarded,10,Postsecondary,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Postsecondary\Views\PsStudentAcademicRecordView.cs
000019,LocationAddress,ApartmentRoomOrSuiteNumber,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\LocationAddressView.cs
000019,PersonAddress,ApartmentRoomOrSuiteNumber,10,Common,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Common\Views\PersonAddressView.cs
000021,Assessment,RefAcademicSubjectId,10,Assessment,C:\Users\drcarver\Desktop\codegen\Autobahn\Code\Generated\\Autobahn.Assessment\Views\AssessmentView.cs
