GlobalID,ElementName,AltName,Definition,Format,HasOptionSet,UsageNotes,URL,Version,TermID,ChangedInThisVersionInd,ChangeNotes,TechnicalName,TableName,Domain
328,Ability Grouping Status,,An indication of whether the school has students who are ability grouped for classroom instruction in mathematics or English/reading/language arts.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19000,10,19000,Updated,Added elements to DES contexts to support post-secondary needs,AbilityGroupingStatus,,
1,Academic Award Date,,The year," month and day or year and month on which the academic award was conferred.",YYYY-MM-DD or YYYY-MM,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19001,10,19001,,AcademicAwardDate,,
2,Academic Award Level Conferred,,An indicator of the category of award conferred by a college," university"," or other postsecondary education institution as official recognition for the successful completion of a program of study.   ",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19002,10,19002,AcademicAwardLevelConferred,,
3,Academic Award Title,,The descriptive title for the academic award.,Alphanumeric - 80 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19003,10,19003,,,AcademicAwardTitle,,
4,Academic Honors Type,,A designation of the type of academic distinctions earned by or awarded to the student.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19004,10,19004,,,AcademicHonorsType,,
5,Accountability Report Title,,The title of the accountability report.,Alphanumeric - 80 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19005,10,19005,,,AccountabilityReportTitle,,
6,Activity Identifier,,A unique number or alphanumeric code used in the local system to identify an activity," such as a co-curricular or extra-curricular activity that is offered at an education institution.",Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return",," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",ActivityIdentifier,,
7,Activity Involvement Begin Date,,The year," month and day on which the person began to participate in the activity.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19007,10,19007,,ActivityInvolvementBeginDate,,
8,Activity Involvement End Date,,The year," month and day on which the person ceased to participate in the activity.",YYYY-MM-DD,FALSE,All CEDS Exit and End Dates represent the last day of the date range specified," such as the last day that a person was enrolled"," participated"," or received services.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19008,ActivityInvolvementEndDate,,
9,Activity Title,,The title for a particular activity," such as a co-curricular or extra-curricular activity.",Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19009,10,19009,,ActivityTitle,,
